title,r_psp_MMGBSA_dG_Bind,r_psp_MMGBSA_dG_Bind_Coulomb,r_psp_MMGBSA_dG_Bind_Covalent,r_psp_MMGBSA_dG_Bind_Hbond,r_psp_MMGBSA_dG_Bind_Lipo,r_psp_MMGBSA_dG_Bind_Packing,r_psp_MMGBSA_dG_Bind_SelfCont,r_psp_MMGBSA_dG_Bind_Solv_GB,r_psp_MMGBSA_dG_Bind_Solv_SA,r_psp_MMGBSA_dG_Bind_vdW,r_psp_Lig_Strain_Energy,r_psp_Lig_Strain_Coulomb,r_psp_Lig_Strain_Covalent,r_psp_Lig_Strain_Hbond,r_psp_Lig_Strain_Lipo,r_psp_Lig_Strain_Packing,r_psp_Lig_Strain_SelfCont,r_psp_Lig_Strain_Solv_GB,r_psp_Lig_Strain_Solv_SA,r_psp_Lig_Strain_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Complex_Energy,r_psp_Complex_Coulomb,r_psp_Complex_Covalent,r_psp_Complex_Hbond,r_psp_Complex_Lipo,r_psp_Complex_Packing,r_psp_Complex_SelfCont,r_psp_Complex_Solv_GB,r_psp_Complex_Solv_SA,r_psp_Complex_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Receptor_Energy,r_psp_Receptor_Coulomb,r_psp_Receptor_Covalent,r_psp_Receptor_Hbond,r_psp_Receptor_Lipo,r_psp_Receptor_Packing,r_psp_Receptor_SelfCont,r_psp_Receptor_Solv_GB,r_psp_Receptor_Solv_SA,r_psp_Receptor_vdW,r_psp_MMGBSA_dG_Bind(NS),r_psp_MMGBSA_dG_Bind(NS)_Coulomb,r_psp_MMGBSA_dG_Bind(NS)_Covalent,r_psp_MMGBSA_dG_Bind(NS)_Hbond,r_psp_MMGBSA_dG_Bind(NS)_Lipo,r_psp_MMGBSA_dG_Bind(NS)_Packing,r_psp_MMGBSA_dG_Bind(NS)_SelfCont,r_psp_MMGBSA_dG_Bind(NS)_Solv_GB,r_psp_MMGBSA_dG_Bind(NS)_Solv_SA,r_psp_MMGBSA_dG_Bind(NS)_vdW,r_psp_Rec_Strain_Energy,r_psp_Rec_Strain_Coulomb,r_psp_Rec_Strain_Covalent,r_psp_Rec_Strain_Hbond,r_psp_Rec_Strain_Lipo,r_psp_Rec_Strain_Packing,r_psp_Rec_Strain_SelfCont,r_psp_Rec_Strain_Solv_GB,r_psp_Rec_Strain_Solv_SA,r_psp_Rec_Strain_vdW,r_psp_Prime_MMGBSA_ligand_efficiency,r_psp_Prime_MMGBSA_ligand_efficiency_sa,r_psp_Prime_MMGBSA_ligand_efficiency_ln
6G6Y - prepared,-255.06726122958,-267.255720652754,12.8129901997863,-14.6355028939761,-46.4155352852093,-1.1427978339927,0.298969616441163,269.622016205691,,-208.351680585564,33.8645307317805,42.0300845255817,12.8129901997863,1.98405968001717,1.01856937443308,0.0,0.298969616441161,-21.6364501629994,,-2.64369250147941,-681.976800033073,-572.609818411927,53.4424792154821,-2.77921773181517,-11.2648890175656,0.0,-8.09782775412375,-155.266771882174,,14.5992455490501,-11642.7040816305,-10956.4019174263,4785.57926962439,-192.037661810194,-727.249287300682,-26.1984482906604,-40.1030365500716,-3533.45370546133,,-952.839294415638,-681.976800033073,-572.609818411927,53.4424792154821,-2.77921773181517,-11.2648890175656,0.0,-8.09782775412375,-155.266771882174,,14.5992455490501,-10705.6600203679,-10116.5363783616,4719.32380020912,-174.622941184403,-669.568862997907,-25.0556504566677,-32.304178412389,-3647.80894978485,,-759.086859379124,-288.93179196136,-309.285805178337,0.0,-16.6195625739933,-47.4341046596423,-1.1427978339927,0.0,291.25846636869,,-205.707988084084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.84831348717087,-2.77247023075631,-43.0329583949325
6G6Y - prepared,-253.214652927512,-212.176646846954,18.2324999510902,-15.7184094960297,-45.2958631710522,-1.83579702330644,0.338959119404965,219.883186482057,,-216.642581942728,41.1814737137981,41.1869395018424,18.2324999510902,2.36278715695431,2.97283814089056,0.0,0.338959119404954,-21.7444663308818,,-2.16808382550296,-701.493244715645,-580.438863708216,43.9824017342774,-3.59285602025403,-13.5233759057413,0.0,-9.39259017638549,-157.380390392204,,18.8524297528779,-11558.9553582848,-10839.9239107975,4756.04699937002,-188.892889540926,-708.720955002749,-18.7613235463038,-33.1335695227297,-3628.17755435219,,-897.392154892453,-701.493244715645,-580.438863708216,43.9824017342774,-3.59285602025403,-13.5233759057413,0.0,-9.39259017638549,-157.380390392204,,18.8524297528779,-10604.2474606417,-10047.3084002423,4693.83209768465,-169.581624024642,-649.901715925956,-16.9255265229974,-24.0799384657492,-3690.68035044204,,-699.602002702603,-294.39612664131,-253.363586348796,0.0,-18.081196652984,-48.2687013119428,-1.83579702330644,1.06581410364015e-14,241.627652812939,,-214.474498117225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.8348887893298,-2.7523331839947,-42.7204007754219
6G6Y - prepared,-265.947008243047,-267.97882955145,15.9215105149615,-16.4100181841938,-44.2447950362771,-2.37979190640046,-0.719721873822685,255.788256517607,,-205.923618723468,28.0484760882006,32.7969355966309,15.9215105149604,1.66214501852428,0.167961780112192,0.0,-0.719721873822683,-17.3094006679562,,-4.47095428024807,-690.367437039504,-577.96993471913,43.9137051897104,-2.95500850013007,-10.4598515834429,0.0,-8.1315418261216,-153.834490371133,,19.069684770743,-11583.7088979507,-10831.1412899868,4784.82037662546,-182.025394178067,-694.654501431742,-24.4424809563956,-49.5569990254108,-3622.09698649771,,-964.611622500011,-690.367437039504,-577.96993471913,43.9137051897104,-2.95500850013007,-10.4598515834429,0.0,-8.1315418261216,-153.834490371133,,19.069684770743,-10627.3944526682,-9985.19252571627,4724.98516092079,-162.660367493743,-639.949854812022,-22.0626890499951,-40.7057353254665,-3724.05075264418,,-777.757688547286,-293.995484331248,-300.775765148081,9.09494701772928e-13,-18.0721632027181,-44.4127568163892,-2.37979190640046,0.0,273.097657185564,,-201.45266444322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.92715223364527,-2.8907283504679,-44.8685044321658
6G6Y - prepared,-262.325814902579,-262.784028361571,19.9924726060108,-14.4937030057999,-44.3949969039405,-1.30255185055672,0.52016700315383,240.191684107896,,-200.05485849777,37.1906469290705,26.2051730291787,19.9924726060076,1.86798588901841,1.73514476778776,0.0,0.520167003153826,-9.92202593549951,,-3.20827043057547,-694.273068906258,-574.005519267275,45.4228330680059,-3.28839179067032,-12.0611563034046,0.0,-9.3836098396663,-159.50908824477,,18.5518634715223,-11645.2618102606,-10819.6911171012,4700.37890808683,-171.581897917886,-696.148352845386,-18.8763363311328,-51.8088620262371,-3630.20546983447,,-957.328682291098,-694.273068906258,-574.005519267275,45.4228330680059,-3.28839179067032,-12.0611563034046,0.0,-9.3836098396663,-159.50908824477,,18.5518634715223,-10688.6629264517,-9982.90156947233,4634.96360241281,-153.799803121416,-639.692199638041,-17.573784480576,-42.9454191897246,-3710.8880656976,,-775.82568726485,-299.516461831648,-288.98920139075,3.63797880709171e-12,-16.3616888948183,-46.1301416717283,-1.30255185055672,7.105427357601e-15,250.113710043396,,-196.846588067195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.9009117021926,-2.8513675532889,-44.257564942679
6G6Y - prepared,-257.451613312156,-239.647627846691,17.614175982324,-15.8599287306731,-44.2047571965783,-0.140771733059566,0.317710954334629,223.917336633284,,-199.447751375092,32.0182525692748,28.6158075975375,17.6141759823234,0.483732498915709,0.591656340810815,0.0,0.317710954334627,-13.4909781663605,,-2.11385263828731,-687.649716328586,-572.489484283067,48.3363341070505,-2.48545309419826,-10.8490934258725,0.0,-9.25657606513845,-158.807847538182,,17.9024039708211,-11649.5204003813,-10897.3889209648,4718.92632577327,-183.99745957739,-705.639122914873,-20.3687740684543,-44.8920009268062,-3535.58332496918,,-980.57712273303,-687.649716328586,-572.489484283067,48.3363341070505,-2.48545309419826,-10.8490934258725,0.0,-9.25657606513845,-158.807847538182,,17.9024039708211,-10704.4190707406,-10085.2518088351,4652.9758156839,-165.652077752518,-650.585272292422,-20.2280023353948,-35.9531358160023,-3600.69281406428,,-799.031775328759,-289.46986588143,-268.263435444229,9.09494701772928e-13,-16.3436612295888,-44.7964135373891,-0.140771733059566,0.0,237.408314799645,,-197.333898736805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.86559140081273,-2.79838710121909,-43.4352276766652
6G6Y - prepared,-238.469399237327,-183.957279949962,23.004618520059,-14.3038879964143,-45.22407191401,-2.29936498126214,0.0288869356527357,200.468872249393,,-216.187172100786,45.2715859129598,41.6157897251213,23.0046185200583,2.41826713961779,2.21999152755233,0.0,0.0288869356527321,-14.2479107666725,,-9.76805716837008,-697.904878773478,-581.706339735145,45.7801325458758,-4.02112357201169,-12.0053326830653,0.0,-9.39630326911777,-155.810307216466,,19.2543951564515,-11710.2438049811,-10712.4284707537,4676.14876647394,-183.952861152266,-708.022634760029,-22.4698750924331,-54.61554629676,-3694.43787268573,,-1010.46531071417,-697.904878773478,-581.706339735145,45.7801325458758,-4.02112357201169,-12.0053326830653,0.0,-9.39630326911777,-155.810307216466,,19.2543951564515,-10773.8695269703,-9946.76485106855,4607.364015408,-165.62784958384,-650.793230162954,-20.1705101111709,-45.248129963295,-3739.09643771866,,-813.532533769834,-283.740985150285,-225.573069675083,9.09494701772928e-13,-16.7221551360321,-47.4440634415623,-2.29936498126214,7.105427357601e-15,214.716783016065,,-206.419114932416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.72803912490817,-2.59205868736225,-40.2326966086322
6G6Y - prepared,-225.628928684306,-170.127348231917,18.8022259090922,-13.6875621752769,-44.2082943911925,-0.979540783592615,-0.0160795462223859,184.002130018723,,-199.414459483918,39.8146555863927,40.8565031712156,18.8022259090972,1.37349080724492,1.52116500016279,0.0,-0.0160795462223886,-25.0331813211012,,2.31053156599589,-684.658469582688,-591.243829114186,57.4448104248482,-2.42770417561797,-11.0348405547838,0.0,-4.69636300400065,-145.506086616351,,12.8055434574038,-11581.4525368497,-10400.1675022081,4743.77576941877,-178.979867034655,-694.763844616872,-23.2135140798141,-47.0735242811089,-4007.38366448694,,-973.646389560991,-684.658469582688,-591.243829114186,57.4448104248482,-2.42770417561797,-11.0348405547838,0.0,-4.69636300400065,-145.506086616351,,12.8055434574038,-10671.1651385827,-9638.79632486202,4667.52873308483,-162.86460068376,-639.520709670895,-22.2339732962215,-42.3610817308859,-4045.87970788931,,-787.037473534477,-265.443584270699,-210.983851403133,-4.54747350886464e-12,-15.0610529825219,-45.7294593913552,-0.979540783592615,0.0,209.035311339824,,-201.724991049914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.6349922368428,-2.45248835526419,-38.0663525924859
6G6Y - prepared,-226.592209268932,-167.794193683167,17.7002317721845,-15.3799061996682,-43.6496607791217,-0.000271881809368324,0.564364470538415,176.958649200664,,-194.991422168556,33.1395440435451,27.5533943252386,17.7002317721852,0.295931731456432,1.0901073464415,0.0,0.564364470538408,-12.941162234388,,-1.12332336792682,-686.798550026207,-576.825211126103,50.975585882821,-1.59874362528611,-10.7848631640268,0.0,-9.38858139295883,-151.35324968944,,12.1765130887867,-11678.2793747629,-10464.4281472923,4707.27090113343,-173.475108854215,-704.576945674041,-23.9603579535615,-40.4203699106281,-3965.77109430374,,-1012.91825190783,-686.798550026207,-576.825211126103,50.975585882821,-1.59874362528611,-10.7848631640268,0.0,-9.38858139295883,-151.35324968944,,12.1765130887867,-10764.8886154678,-9719.80874248307,4638.59508347842,-156.496459029261,-650.142421730893,-23.9600860717522,-31.5961529882077,-3991.37649381496,,-830.103342828055,-259.731753312479,-195.347588008404,-9.09494701772928e-13,-15.6758379311246,-44.7397681255632,-0.000271881809368324,7.105427357601e-15,189.899811435052,,-193.86809880063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.64197253093429,-2.46295879640144,-38.2288697776435
6G6Y - prepared,-256.992958123776,-211.711855359588,14.1377645394523,-17.0282445448372,-45.9541464705131,-0.986448545597206,0.812423030667155,190.948087887635,,-187.21053866099,33.2659010514852,24.031095316859,14.1377645394507,0.553392543796432,0.890503876788083,0.0,0.812423030667162,-9.5498236697149,,2.3905454136379,-692.156558700997,-579.188683429774,47.9642862760377,-2.22234841563349,-10.3579385323012,0.0,-9.26744624845813,-155.105810538733,,16.0213821878647,-11643.0909572848,-10447.4391137463,4729.22075531897,-177.382872788611,-705.629217257937,-21.2206128536327,-54.190715061349,-3983.23385968785,,-983.215321208068,-692.156558700997,-579.188683429774,47.9642862760377,-2.22234841563349,-10.3579385323012,0.0,-9.26744624845813,-155.105810538733,,16.0213821878647,-10693.94144046,-9656.53857495695,4667.11870450348,-158.13227982814,-649.317132255122,-20.2341643080355,-45.735691843558,-4019.07613703675,,-812.026164734943,-290.258859175261,-235.742950676447,9.09494701772928e-13,-17.5816370886337,-46.8446503473012,-0.986448545597206,-7.105427357601e-15,200.49791155735,,-189.601084074628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.86226781249113,-2.79340171873669,-43.3578469515026
6G6Y - prepared,-255.902802879064,-219.083318954608,19.4207178189408,-15.2763898910718,-46.3985788846516,-0.48364271119188,0.747453524526456,213.270451956176,,-208.099495737185,34.559665374086,23.7297099845337,19.4207178189434,0.641218054644199,1.44313888128139,0.0,0.747453524526447,-7.82745189864318,,-3.59512099119981,-691.556856525944,-569.423545415028,47.5868839083482,-2.27624163092195,-11.0515100452007,0.0,-9.38339407951095,-161.513028796746,,14.5039795331152,-11622.828628477,-10708.6488026591,4774.44137656005,-177.23929202143,-702.105001300319,-19.5348143759299,-46.9642285577374,-3759.85172601669,,-982.926140105895,-691.556856525944,-569.423545415028,47.5868839083482,-2.27624163092195,-11.0515100452007,0.0,-9.38339407951095,-161.513028796746,,14.5039795331152,-10675.368969072,-9920.14193828941,4707.43377483276,-159.686660499436,-644.654912370467,-19.051171664738,-38.3282880027529,-3811.60914917612,,-789.330623901825,-290.46246825315,-242.813028939141,-1.81898940354586e-12,-15.917607945716,-47.8417177659329,-0.48364271119188,7.105427357601e-15,221.097903854819,,-204.504374745985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.85436813680481,-2.78155220520721,-43.1739244635142
