title,r_psp_MMGBSA_dG_Bind,frame
"Ligand_C",-38.92,1
"Ligand_C",-39.15,2
"Ligand_C",-38.78,3
"Ligand_C",-39.34,4
"Ligand_C",-38.95,5
"Ligand_C",-39.12,6
"Ligand_C",-38.67,7
"Ligand_C",-39.45,8
"Ligand_C",-38.89,9
"Ligand_C",-39.23,10
"Ligand_C",-38.95,11
"Ligand_C",-39.34,12
"Ligand_C",-38.78,13
"Ligand_C",-39.15,14
"Ligand_C",-38.92,15
"Ligand_C",-39.45,16
"Ligand_C",-38.67,17
"Ligand_C",-39.12,18
"Ligand_C",-38.89,19
"Ligand_C",-39.23,20
"Ligand_C",-38.95,981
"Ligand_C",-39.34,982
"Ligand_C",-38.78,983
"Ligand_C",-39.15,984
"Ligand_C",-38.92,985
"Ligand_C",-39.45,986
"Ligand_C",-38.67,987
"Ligand_C",-39.12,988
"Ligand_C",-38.89,989
"Ligand_C",-39.23,990
"Ligand_C",-38.95,991
"Ligand_C",-39.34,992
"Ligand_C",-38.78,993
"Ligand_C",-39.15,994
"Ligand_C",-38.92,995
"Ligand_C",-39.45,996
"Ligand_C",-38.67,997
"Ligand_C",-39.12,998
"Ligand_C",-38.89,999
"Ligand_C",-39.23,1000 
